environment,seed,learner,representation_dim,active_representation_dim,task_probe_clean_accuracy,task_probe_noisy_accuracy,task_probe_degradation,task_variable_clean_recoverability,task_variable_noisy_recoverability,relevant_Z_clean_recoverability,relevant_Z_noisy_recoverability,nuisance_clean_recoverability,nuisance_noisy_recoverability,latent_absolute_drift,latent_relative_drift,latent_cosine_drift,task_logit_drift,support_clean_nn_distance,support_noisy_nn_distance,support_shift,interaction_probe_clean_accuracy,interaction_probe_noisy_accuracy,interaction_clean_uplift,interaction_noisy_uplift
ENV-2,610101,L0,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.5017169539573865,0.5015692313758588,0.13743608202834467,0.049269879533441335,0.0011447638354427014,0.07940695683767539,0.00011999419274235442,0.13682488231951653,0.13670488812677417,1.0,1.0,0.0,0.0
ENV-2,610101,L1,8,8,1.0,0.996101364522417,0.003898635477582957,1.0,1.0,nan,nan,0.6757902441038701,0.6997434271819286,0.1375448082073659,0.05364190626844952,0.0013564245674743119,0.08859729032650059,0.08146663008344307,0.1635585029145933,0.08209187283115024,1.0,1.0,0.0,0.003898635477582957
ENV-2,610101,L2,8,8,0.9883040935672515,0.98635477582846,0.0019493177387914784,1.0,0.99822695035461,nan,nan,0.930022196728215,0.9271697241250383,0.15778360086122079,0.05880185021670863,0.0017229400131112528,0.08538128600933315,0.11209792478223402,0.20851540318987608,0.09641747840764206,1.0,1.0,0.011695906432748537,0.013645224171540016
ENV-2,610101,L3,8,8,1.0,0.996101364522417,0.003898635477582957,1.0,1.0,nan,nan,0.685631626557375,0.6848067654078743,0.1391900838895181,0.05360599180968498,0.001339386687330633,0.08868889745146964,0.08391508724297242,0.16726532398458624,0.08335023674161382,1.0,1.0,0.0,0.003898635477582957
ENV-2,610101,L4,8,8,0.9824561403508771,0.9883040935672515,-0.005847953216374324,1.0,1.0,nan,nan,0.7165081716630928,0.7039677835926075,0.13909055648862792,0.05409934168991193,0.0013631901494605702,0.08866350459379528,0.08348939545537386,0.16553657253149393,0.08204717707612007,1.0,1.0,0.01754385964912286,0.011695906432748537
ENV-2,610103,L0,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.45089806101252705,0.4513480994060682,0.13518894415681426,0.049409211735692855,0.0011438454381104174,0.07664203708743543,0.00018446363841042657,0.1338563275407962,0.13367186390238578,1.0,1.0,0.0,0.0
ENV-2,610103,L1,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.7399179650830262,0.739040320213521,0.14751100570590925,0.06122489987841709,0.0019433453159442054,0.09159262840798128,0.05261771997941029,0.1486553810235329,0.09603766104412262,1.0,1.0,0.0,0.0
ENV-2,610103,L2,8,8,0.9766081871345029,0.9766081871345028,1.1102230246251565e-16,1.0,1.0,nan,nan,0.8719076748486192,0.868658423206957,0.1402620822688501,0.056523827784019064,0.0016095273753613372,0.07588142858283725,0.0717641324359597,0.16016498717253322,0.08840085473657353,1.0,1.0,0.023391812865497075,0.023391812865497186
ENV-2,610103,L3,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.7069419940479034,0.7033302855920327,0.1615511123093133,0.06358806679024571,0.0020015001278188486,0.08798942484929373,0.05820599316161754,0.160978092733621,0.10277209957200345,1.0,1.0,0.0,0.0
ENV-2,610103,L4,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.7064863140386826,0.7008778356614583,0.14603029234995277,0.05940415253129968,0.0018235664246092275,0.09016234658924283,0.04927006278792681,0.14499780919537067,0.09572774640744386,1.0,1.0,0.0,0.0
ENV-2,610107,L0,8,8,1.0,1.0,0.0,1.0,1.0,nan,nan,0.4927446427098173,0.4928547840914315,0.13768959816783718,0.04995393480807634,0.0011784186140779375,0.07860848061196889,0.00010782127678226278,0.1372180339810055,0.13711021270422322,1.0,1.0,0.0,0.0
ENV-2,610107,L1,8,8,0.9649122807017544,0.9610136452241717,0.0038986354775827348,1.0,1.0,nan,nan,0.5027624700208561,0.5021491936007119,0.14015591249815554,0.058058856774422185,0.0015571663290119163,0.08444064923020002,0.06194873072584871,0.14913706689254527,0.08718833616669656,1.0,1.0,0.03508771929824561,0.03898635477582835
ENV-2,610107,L2,8,8,0.9824561403508771,0.9844054580896686,-0.0019493177387914784,1.0,1.0,nan,nan,0.8671337918244157,0.8668142618542776,0.151354655136387,0.058457704082012174,0.0016898610495568534,0.08828813695895248,0.06449542188939099,0.17169712581169874,0.10720170392230775,1.0,1.0,0.01754385964912286,0.015594541910331383
ENV-2,610107,L3,8,8,0.9766081871345029,0.9766081871345028,1.1102230246251565e-16,0.9873397435897436,0.9894764957264958,nan,nan,0.5154177529232685,0.5240132216024939,0.14888825471234554,0.06063003521958476,0.001760274847253093,0.08602109396489878,0.0716307746790188,0.1612178901846628,0.089587115505644,0.9941520467836257,0.9941520467836257,0.01754385964912275,0.01754385964912286
ENV-2,610107,L4,8,8,0.9824561403508771,0.9805068226120858,0.0019493177387913674,0.9935897435897436,0.9957264957264957,nan,nan,0.5419279163640045,0.5465447693058516,0.14933855500354845,0.06086343143789175,0.0017404755423811112,0.08865870684853772,0.0771744145522519,0.1670232771730457,0.08984886262079379,1.0,1.0,0.01754385964912286,0.01949317738791423
